ts_code,trade_date,open,high,low,close,change,pct_change,vol
2361,20171220,5.81,5.84,5.73,5.75,-0.1100000000000003,-1.8771331058020535,3110600.0
2361,20171221,5.74,5.82,5.71,5.79,0.04,0.6956521739130528,2883500.0
2361,20171222,5.78,5.78,5.71,5.72,-0.0700000000000002,-1.2089810017271163,2289500.0
2361,20171225,5.73,5.73,5.55,5.59,-0.1299999999999999,-2.2727272727272707,3984400.0
2361,20171226,5.59,5.71,5.55,5.71,0.1200000000000001,2.146690518783534,2937400.0
2361,20171227,5.68,5.69,5.58,5.61,-0.0999999999999996,-1.7513134851138257,2240600.0
2361,20171228,5.63,5.68,5.58,5.62,0.0099999999999997,0.1782531194295833,3670200.0
2361,20171229,5.62,5.65,5.59,5.63,0.0099999999999997,0.1779359430605032,2095100.0
2361,20180102,5.64,5.71,5.63,5.68,0.0499999999999998,0.8880994671403242,3662300.0
2361,20180103,5.71,5.76,5.66,5.76,0.08,1.4084507042253502,4215000.0
2361,20180104,5.76,5.88,5.7,5.73,-0.0299999999999993,-0.5208333333333259,4789634.0
2361,20180105,5.72,5.76,5.68,5.75,0.0199999999999995,0.3490401396160525,3718600.0
2361,20180108,5.74,5.77,5.65,5.69,-0.0599999999999996,-1.043478260869557,4495020.0
2361,20180109,5.67,5.7,5.63,5.66,-0.0300000000000002,-0.5272407732864748,3284595.0
2361,20180110,5.65,5.66,5.57,5.6,-0.0600000000000005,-1.0600706713780994,3985064.0
2361,20180111,5.61,5.65,5.57,5.64,0.04,0.7142857142857117,3053000.0
2361,20180112,5.64,5.64,5.59,5.62,-0.0199999999999995,-0.3546099290780091,2451220.0
2361,20180115,5.6,5.62,5.41,5.41,-0.2099999999999999,-3.7366548042704673,5070120.0
2361,20180116,5.4,5.44,5.35,5.37,-0.04,-0.7393715341959317,3662300.0
2361,20180117,5.37,5.39,5.21,5.32,-0.0499999999999998,-0.9310986964618184,4680791.0
2361,20180118,5.32,5.36,5.26,5.34,0.0199999999999995,0.3759398496240518,1836300.0
2361,20180119,5.37,5.6,5.36,5.41,0.0700000000000002,1.310861423220988,5032700.0
2361,20180122,5.38,5.51,5.36,5.45,0.04,0.7393715341959428,3275100.0
2361,20180123,5.52,5.52,5.41,5.43,-0.0200000000000004,-0.3669724770642313,2608787.0
2361,20180124,5.44,5.44,5.35,5.41,-0.0199999999999995,-0.3683241252301905,3189700.0
2361,20180125,5.42,5.49,5.37,5.43,0.0199999999999995,0.3696857670979492,3841000.0
2361,20180126,5.4,5.45,5.39,5.43,0.0,0.0,2426100.0
2361,20180129,5.44,5.44,5.31,5.33,-0.0999999999999996,-1.841620626151008,3012100.0
2361,20180130,5.33,5.35,5.3,5.31,-0.0200000000000004,-0.3752345215759955,1744500.0
2361,20180131,5.31,5.32,5.12,5.12,-0.1899999999999995,-3.5781544256120457,4041778.0
2361,20180201,5.12,5.13,4.62,4.69,-0.4299999999999997,-8.39843749999999,7520746.0
2361,20180202,4.76,4.76,4.49,4.64,-0.0500000000000007,-1.06609808102347,4059652.0
2361,20180205,4.59,4.62,4.52,4.58,-0.0599999999999996,-1.2931034482758563,2374102.0
2361,20180206,4.53,4.53,4.18,4.18,-0.4000000000000003,-8.733624454148481,5080700.0
